date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:21:43	23029/23029	---M--	200	added ('OK')	image/png	etag:130617913eda6328c7e76bcefb18aa94	https://feaeba6c997b673d9546-fdee854a0c0fddf2cfc663474a96d15c.ssl.cf2.rackcdn.com/imageso_0laptopso_0lemuro_0lemu6o_0hero-home-text.png	E:/websites/ecom/feaeba6c997b673d9546-fdee854a0c0fddf2cfc663474a96d15c.ssl.cf2.rackcdn.com/imageso_0laptopso_0lemuro_0lemu6o_0hero-home-text.png	(from https://system76.com/)
22:21:44	193/193	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2020%20Nov%202015%2003:22:09%20GMT	https://system76.com/images/skylake/hero-home-text.png	E:/websites/ecom/system76.com/images/skylake/hero-home-text.png	(from https://system76.com/)
22:21:44	8372/8372	---M--	200	added ('OK')	image/png	etag:a1635aff0fc9061338d1dac659c29cc8	https://feaeba6c997b673d9546-fdee854a0c0fddf2cfc663474a96d15c.ssl.cf2.rackcdn.com/imageso_0skylakeo_0hero-home-text.png	E:/websites/ecom/feaeba6c997b673d9546-fdee854a0c0fddf2cfc663474a96d15c.ssl.cf2.rackcdn.com/imageso_0skylakeo_0hero-home-text.png	(from https://system76.com/)
22:21:44	21775/21775	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Nov%202015%2003:22:10%20GMT	https://system76.com/desktops/ratel	E:/websites/ecom/system76.com/desktops/ratel.html	(from https://system76.com/)
22:21:44	193/193	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2020%20Nov%202015%2003:22:10%20GMT	https://system76.com/images/desktops/ratel/ratp5/hero-home-ratel.png	E:/websites/ecom/system76.com/images/desktops/ratel/ratp5/hero-home-ratel.png	(from https://system76.com/)
22:21:45	19181/19181	---M--	200	added ('OK')	image/png	etag:f79c7833470e54e5f8c9a712ed16aee0	https://feaeba6c997b673d9546-fdee854a0c0fddf2cfc663474a96d15c.ssl.cf2.rackcdn.com/imageso_0desktopso_0ratelo_0ratp5o_0hero-home-ratel.png	E:/websites/ecom/feaeba6c997b673d9546-fdee854a0c0fddf2cfc663474a96d15c.ssl.cf2.rackcdn.com/imageso_0desktopso_0ratelo_0ratp5o_0hero-home-ratel.png	(from https://system76.com/)
22:21:45	28545/28545	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Nov%202015%2003:22:11%20GMT	https://system76.com/desktops/wild-dog	E:/websites/ecom/system76.com/desktops/wild-dog.html	(from https://system76.com/)
22:21:45	193/193	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2020%20Nov%202015%2003:22:11%20GMT	https://system76.com/images/desktops/ratel/ratp5/hero-home-wild-dog.png	E:/websites/ecom/system76.com/images/desktops/ratel/ratp5/hero-home-wild-dog.png	(from https://system76.com/)
22:21:45	42679/42679	---M--	200	added ('OK')	image/png	etag:9fe7e979b8567796aacd29bbbc316fa9	https://feaeba6c997b673d9546-fdee854a0c0fddf2cfc663474a96d15c.ssl.cf2.rackcdn.com/imageso_0desktopso_0ratelo_0ratp5o_0hero-home-wild-dog.png	E:/websites/ecom/feaeba6c997b673d9546-fdee854a0c0fddf2cfc663474a96d15c.ssl.cf2.rackcdn.com/imageso_0desktopso_0ratelo_0ratp5o_0hero-home-wild-dog.png	(from https://system76.com/)
22:21:46	22592/22592	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Nov%202015%2003:22:11%20GMT	https://system76.com/laptops/serval	E:/websites/ecom/system76.com/laptops/serval.html	(from https://system76.com/)
